2021/08/19 01:49:52 [INFO] CurrentEpoch: 60, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 28, NumberOfBads: 127, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 61, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 26, NumberOfBads: 143, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 62, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 24, NumberOfBads: 143, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 63, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 24, NumberOfBads: 136, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 64, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 21, NumberOfBads: 146, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 65, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 32, NumberOfBads: 123, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 66, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 34, NumberOfBads: 135, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 67, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 35, NumberOfBads: 144, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 68, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 38, NumberOfBads: 135, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 69, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 38, NumberOfBads: 139, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 70, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 33, NumberOfBads: 136, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 71, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 27, NumberOfBads: 138, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 72, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 32, NumberOfBads: 134, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 73, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 34, NumberOfBads: 126, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 74, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 32, NumberOfBads: 134, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 75, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 34, NumberOfBads: 143, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 76, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 26, NumberOfBads: 149, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 77, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 21, NumberOfBads: 158, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 78, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 19, NumberOfBads: 141, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 79, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 19, NumberOfBads: 138, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 80, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 23, NumberOfBads: 132, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 81, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 29, NumberOfBads: 136, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 82, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 29, NumberOfBads: 138, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 83, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 30, NumberOfBads: 147, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 84, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 27, NumberOfBads: 133, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 85, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 23, NumberOfBads: 134, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 86, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 27, NumberOfBads: 143, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 87, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 31, NumberOfBads: 139, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 88, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 16, NumberOfBads: 147, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 89, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 20, NumberOfBads: 153, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 90, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 23, NumberOfBads: 149, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 91, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 27, NumberOfBads: 139, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 92, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 40, NumberOfBads: 139, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 93, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 37, NumberOfBads: 140, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 94, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 36, NumberOfBads: 143, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 95, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 28, NumberOfBads: 149, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 96, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 28, NumberOfBads: 137, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 97, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 30, NumberOfBads: 148, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 98, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 21, NumberOfBads: 146, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 99, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 28, NumberOfBads: 143, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 100, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 25, NumberOfBads: 146, Level: easy
